Transaction_ID,Date,Outlet,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Customer_Type
T100102,17/02/2024,CENTRAL,Snacks,Cookie,1,119.98,119.98,Regular
T100103,15/01/2024,South Point,Pastry,Croissant,3,106.65,319.95,Regular
T100104,12/03/2024,north hub,Tea,Black Tea,2,236.55,473.1,Regular
T100105,18/03/2024,South Point,Pastry,Muffin,3,249.52,748.56,Regular
T100106,27/03/2024,central,Snacks,Cookie,2,178.61,357.22,Regular
T100107,02/03/2024,North Hub,Sandwich,Cheese Sandwich,3,224.56,673.68,New
T100108,09/02/2024,central,Pastry,Danish,3,292.87,878.61,New
T100109,25/03/2024,South Point,Coffee,Espresso,4,300.89,1203.56,Regular
T100110,20/03/2024,central,Coffee,Cappuccino,2,338.64,677.28,New
T100111,18/04/2024,Central,Tea,Green Tea,3,302.55,907.65,New
T100112,22/03/2024,SOUTH POINT,Snacks,Bagel,1,232.51,232.51,Regular
T100113,20/04/2024,Central,Tea,Masala Tea,3,128.51,385.53,New
T100114,22/02/2024,south point,Tea,Green Tea,3,106.94,320.82,New
T100115,24/01/2024,central,Tea,Green Tea,1,94.72,94.72,Regular
T100116,26/01/2024,south point,Coffee,Americano,2,259.96,519.92,New
T100117,29/03/2024,CENTRAL,Coffee,Espresso,4,298.03,1192.12,New
T100118,29/02/2024,NORTH HUB,Tea,Black Tea,4,217.34,869.36,Regular
T100119,18/04/2024,CENTRAL,Coffee,Latte,4,94.77,379.08,New
T100120,10/02/2024,South Point,Snacks,Brownie,1,224.58,224.58,New
T100121,29/01/2024,SOUTH POINT,Tea,Green Tea,3,332.65,997.95,New
T100122,15/01/2024,central,Coffee,Espresso,2,241.36,482.72,Regular
T100123,14/02/2024,north hub,Pastry,Croissant,3,298.55,895.65,Regular
T100124,05/03/2024,NORTH HUB,Tea,Masala Tea,4,296.04,1184.16,New
T100125,29/03/2024,North Hub,Tea,Black Tea,3,331.67,995.01,New
T100126,11/03/2024,North Hub,Snacks,Cookie,1,287.96,287.96,Regular
T100127,09/01/2024,North Hub,Sandwich,Veg Sandwich,1,281.88,281.88,Regular
T100128,28/03/2024,central,Sandwich,Chicken Sandwich,2,143.21,286.42,New
T100129,01/01/2024,North Hub,Snacks,Brownie,2,96.18,192.36,Regular
T100130,17/04/2024,Central,Snacks,Bagel,4,219.75,879.0,New
T100131,08/01/2024,NORTH HUB,Snacks,Bagel,2,113.6,227.2,New
T100132,28/03/2024,Central,Sandwich,Cheese Sandwich,3,339.79,1019.37,Regular
T100133,03/03/2024,NORTH HUB,Snacks,Brownie,1,158.28,158.28,Regular
T100134,11/01/2024,Central,Coffee,Americano,1,310.29,310.29,New
T100135,24/04/2024,NORTH HUB,Tea,Masala Tea,1,184.66,184.66,New
T100136,21/03/2024,south point,Tea,Black Tea,2,167.26,334.52,Regular
T100137,08/01/2024,central,Pastry,Croissant,1,332.49,332.49,New
T100138,04/02/2024,central,Pastry,Croissant,1,178.1,178.1,Regular
T100139,04/02/2024,North Hub,Tea,Masala Tea,1,185.38,185.38,Regular
T100140,02/02/2024,CENTRAL,Coffee,Cappuccino,4,108.64,434.56,Regular
T100141,05/01/2024,North Hub,Sandwich,Veg Sandwich,4,261.02,1044.08,Regular
T100142,15/04/2024,South Point,Sandwich,Chicken Sandwich,2,157.99,315.98,Regular
T100143,12/04/2024,Central,Coffee,Americano,1,238.11,238.11,New
T100144,10/02/2024,NORTH HUB,Sandwich,Cheese Sandwich,2,239.66,479.32,Regular
T100145,28/01/2024,CENTRAL,Snacks,Cookie,1,274.18,274.18,Regular
T100146,07/01/2024,South Point,Tea,Masala Tea,1,281.22,281.22,Regular
T100147,13/03/2024,central,Tea,Green Tea,1,218.9,218.9,Regular
T100148,12/03/2024,central,Coffee,Espresso,2,169.37,338.74,Regular
T100149,12/01/2024,North Hub,Sandwich,Veg Sandwich,2,306.11,612.22,Regular
T100150,03/02/2024,Central,Pastry,Muffin,1,163.66,163.66,Regular
T100151,02/02/2024,CENTRAL,Pastry,Croissant,3,217.03,651.09,New
T100152,17/02/2024,SOUTH POINT,Sandwich,Chicken Sandwich,2,188.34,376.68,New
T100153,28/04/2024,South Point,Pastry,Muffin,4,310.87,1243.48,New
T100154,23/01/2024,South Point,Coffee,Americano,2,196.62,393.24,New
T100155,02/03/2024,North Hub,Coffee,Espresso,1,184.25,184.25,Regular
T100156,28/03/2024,central,Sandwich,Cheese Sandwich,3,266.25,798.75,New
T100157,06/02/2024,North Hub,Pastry,Danish,1,242.66,242.66,Regular
T100158,08/04/2024,NORTH HUB,Coffee,Cappuccino,4,108.96,435.84,New
T100159,13/02/2024,CENTRAL,Coffee,Latte,2,217.21,434.42,New
T100160,13/04/2024,Central,Snacks,Cookie,2,278.58,557.16,Regular
T100161,26/03/2024,south point,Snacks,Cookie,1,347.86,347.86,Regular
T100162,31/03/2024,north hub,Coffee,Espresso,1,249.87,249.87,New
T100163,04/02/2024,north hub,Sandwich,Chicken Sandwich,4,179.98,719.92,New
T100164,05/03/2024,North Hub,Tea,Green Tea,3,141.06,423.18,New
T100165,08/04/2024,NORTH HUB,Tea,Green Tea,4,315.66,1262.64,New
T100166,10/04/2024,CENTRAL,Coffee,Cappuccino,3,299.93,899.79,Regular
T100167,16/02/2024,SOUTH POINT,Coffee,Cappuccino,2,143.16,286.32,New
T100168,18/03/2024,north hub,Coffee,Americano,3,134.17,402.51,New
T100169,03/01/2024,CENTRAL,Sandwich,Cheese Sandwich,3,273.09,819.27,New
T100170,01/01/2024,Central,Snacks,Brownie,2,165.04,330.08,New
T100171,05/01/2024,NORTH HUB,Coffee,Espresso,2,162.73,325.46,New
T100172,30/03/2024,central,Coffee,Espresso,2,121.12,242.24,Regular
T100173,28/04/2024,CENTRAL,Pastry,Muffin,4,151.27,605.08,Regular
T100174,14/01/2024,Central,Sandwich,Veg Sandwich,2,195.43,390.86,Regular
T100175,12/04/2024,SOUTH POINT,Coffee,Americano,1,277.87,277.87,Regular
T100176,27/01/2024,south point,Pastry,Danish,2,170.8,341.6,Regular
T100177,09/01/2024,central,Tea,Black Tea,2,168.72,337.44,New
T100178,19/03/2024,south point,Coffee,Espresso,2,156.93,313.86,Regular
T100179,15/01/2024,SOUTH POINT,Coffee,Americano,3,209.14,627.42,Regular
T100180,30/03/2024,Central,Pastry,Croissant,4,128.77,515.08,New
T100181,11/02/2024,north hub,Sandwich,Cheese Sandwich,2,211.12,422.24,Regular
T100182,17/03/2024,south point,Coffee,Espresso,4,270.13,1080.52,Regular
T100183,20/02/2024,central,Tea,Black Tea,1,88.04,88.04,Regular
T100184,03/03/2024,North Hub,Coffee,Latte,1,82.64,82.64,Regular
T100185,05/04/2024,South Point,Tea,Black Tea,2,100.28,200.56,New
T100186,12/04/2024,CENTRAL,Snacks,Cookie,1,224.63,224.63,New
T100187,22/04/2024,north hub,Snacks,Brownie,4,310.7,1242.8,Regular
T100188,21/02/2024,south point,Tea,Green Tea,3,81.32,243.96,New
T100189,05/04/2024,CENTRAL,Sandwich,Chicken Sandwich,2,332.9,665.8,Regular
T100190,04/01/2024,North Hub,Coffee,Espresso,1,108.7,108.7,New
T100191,03/04/2024,SOUTH POINT,Coffee,Latte,4,307.34,1229.36,New
T100192,10/04/2024,South Point,Snacks,Brownie,4,210.37,841.48,New
T100193,23/01/2024,Central,Tea,Black Tea,1,258.03,258.03,New
T100194,12/04/2024,North Hub,Coffee,Espresso,4,217.88,871.52,New
T100195,18/04/2024,North Hub,Coffee,Americano,4,208.8,835.2,New
T100196,15/01/2024,SOUTH POINT,Sandwich,Cheese Sandwich,2,305.42,610.84,New
T100197,12/02/2024,NORTH HUB,Pastry,Danish,4,284.09,1136.36,New
T100198,29/01/2024,SOUTH POINT,Snacks,Cookie,1,210.52,210.52,New
T100199,05/02/2024,NORTH HUB,Snacks,Brownie,2,110.14,220.28,New
T100200,13/01/2024,NORTH HUB,Pastry,Muffin,1,111.16,111.16,New
T100201,01/02/2024,north hub,Coffee,Espresso,3,296.42,889.26,Regular
T100202,11/03/2024,north hub,Sandwich,Cheese Sandwich,1,222.94,222.94,New
T100203,28/02/2024,central,Sandwich,Cheese Sandwich,1,210.03,210.03,Regular
T100204,24/04/2024,south point,Snacks,Brownie,2,263.75,527.5,New
T100205,26/03/2024,south point,Sandwich,Veg Sandwich,4,311.89,1247.56,Regular
T100206,28/01/2024,Central,Pastry,Muffin,1,249.8,249.8,Regular
T100207,06/03/2024,south point,Coffee,Espresso,2,285.97,571.94,Regular
T100208,11/02/2024,north hub,Pastry,Croissant,3,286.62,859.86,New
T100209,14/02/2024,central,Tea,Green Tea,2,176.19,352.38,New
T100210,02/03/2024,central,Snacks,Cookie,2,154.0,308.0,New
T100211,26/02/2024,NORTH HUB,Sandwich,Veg Sandwich,4,296.31,1185.24,New
T100212,26/04/2024,SOUTH POINT,Tea,Black Tea,1,181.84,181.84,Regular
T100213,06/01/2024,Central,Sandwich,Chicken Sandwich,3,323.9,971.7,New
T100214,28/01/2024,NORTH HUB,Coffee,Latte,2,98.82,197.64,New
T100215,28/01/2024,SOUTH POINT,Coffee,Americano,1,95.72,95.72,New
T100216,17/04/2024,south point,Coffee,Americano,1,330.29,330.29,New
T100217,13/02/2024,NORTH HUB,Sandwich,Cheese Sandwich,2,255.08,510.16,New
T100218,24/03/2024,CENTRAL,Tea,Black Tea,1,182.49,182.49,New
T100219,30/01/2024,south point,Coffee,Americano,2,283.87,567.74,New
T100220,02/03/2024,SOUTH POINT,Tea,Black Tea,2,261.53,523.06,New
T100221,15/03/2024,Central,Sandwich,Veg Sandwich,2,223.42,446.84,Regular
T100222,28/04/2024,SOUTH POINT,Tea,Black Tea,3,106.7,320.1,Regular
T100223,01/04/2024,NORTH HUB,Sandwich,Veg Sandwich,2,299.29,598.58,New
T100224,29/03/2024,NORTH HUB,Sandwich,Chicken Sandwich,4,313.83,1255.32,New
T100225,12/04/2024,North Hub,Snacks,Cookie,1,126.49,126.49,New
T100226,02/03/2024,Central,Sandwich,Cheese Sandwich,3,309.64,928.92,New
T100227,06/04/2024,south point,Sandwich,Veg Sandwich,1,317.02,317.02,Regular
T100228,01/01/2024,central,Pastry,Danish,3,228.35,685.05,Regular
T100229,27/01/2024,Central,Coffee,Cappuccino,4,257.17,1028.68,New
T100230,02/03/2024,central,Snacks,Brownie,3,183.2,549.6,Regular
T100231,25/04/2024,Central,Snacks,Bagel,3,156.08,468.24,Regular
T100232,17/03/2024,Central,Snacks,Cookie,3,274.94,824.82,New
T100233,14/04/2024,SOUTH POINT,Pastry,Danish,1,312.71,312.71,New
T100234,03/01/2024,Central,Sandwich,Veg Sandwich,2,256.6,513.2,New
T100235,12/04/2024,North Hub,Coffee,Espresso,1,218.13,218.13,Regular
T100236,10/03/2024,NORTH HUB,Tea,Masala Tea,2,122.91,245.82,Regular
T100237,12/03/2024,South Point,Sandwich,Veg Sandwich,1,94.43,94.43,New
T100238,27/01/2024,central,Pastry,Croissant,4,200.34,801.36,New
T100239,09/01/2024,NORTH HUB,Sandwich,Chicken Sandwich,4,93.32,373.28,Regular
T100240,02/03/2024,South Point,Sandwich,Cheese Sandwich,3,233.72,701.16,Regular
T100241,06/02/2024,central,Pastry,Muffin,4,183.34,733.36,New
T100242,06/04/2024,central,Snacks,Bagel,3,284.44,853.32,Regular
T100243,20/02/2024,South Point,Snacks,Cookie,2,162.53,325.06,New
T100244,15/04/2024,Central,Coffee,Cappuccino,4,240.11,960.44,New
T100245,13/02/2024,south point,Coffee,Latte,2,225.17,450.34,Regular
T100246,24/01/2024,CENTRAL,Snacks,Bagel,1,81.27,81.27,Regular
T100247,19/03/2024,NORTH HUB,Tea,Masala Tea,2,99.55,199.1,Regular
T100248,28/02/2024,SOUTH POINT,Sandwich,Cheese Sandwich,1,158.4,158.4,New
T100249,27/04/2024,NORTH HUB,Tea,Masala Tea,2,318.2,636.4,New
T100250,01/02/2024,SOUTH POINT,Sandwich,Veg Sandwich,2,119.69,239.38,New
T100251,05/04/2024,South Point,Snacks,Bagel,4,271.94,1087.76,New
T100252,28/03/2024,SOUTH POINT,Coffee,Latte,2,342.81,685.62,New
T100253,14/04/2024,central,Coffee,Cappuccino,4,293.45,1173.8,New
T100254,21/02/2024,south point,Tea,Black Tea,4,145.6,582.4,Regular
T100255,22/04/2024,south point,Coffee,Latte,3,325.26,975.78,New
T100256,02/03/2024,central,Snacks,Bagel,3,105.14,315.42,New
T100257,22/04/2024,North Hub,Tea,Masala Tea,1,206.4,206.4,New
T100258,27/02/2024,South Point,Sandwich,Veg Sandwich,2,319.64,639.28,New
T100259,21/02/2024,North Hub,Coffee,Americano,1,253.14,253.14,Regular
T100260,12/01/2024,North Hub,Pastry,Danish,2,191.68,383.36,New
T100261,08/02/2024,NORTH HUB,Coffee,Espresso,3,159.06,477.18,Regular
T100262,02/01/2024,NORTH HUB,Sandwich,Cheese Sandwich,3,181.28,543.84,Regular
T100263,03/01/2024,CENTRAL,Tea,Black Tea,2,217.41,434.82,New
T100264,22/04/2024,SOUTH POINT,Sandwich,Cheese Sandwich,2,166.14,332.28,New
T100265,10/04/2024,central,Pastry,Muffin,3,341.62,1024.86,Regular
T100266,22/04/2024,NORTH HUB,Snacks,Brownie,3,331.93,995.79,Regular
T100267,25/02/2024,South Point,Coffee,Cappuccino,1,315.08,315.08,New
T100268,21/03/2024,SOUTH POINT,Tea,Masala Tea,3,193.89,581.67,Regular
T100269,28/02/2024,CENTRAL,Snacks,Bagel,2,266.65,533.3,New
T100270,22/04/2024,CENTRAL,Sandwich,Chicken Sandwich,1,323.76,323.76,New
T100271,02/01/2024,South Point,Tea,Black Tea,2,309.62,619.24,Regular
T100272,02/01/2024,North Hub,Snacks,Brownie,4,191.87,767.48,New
T100273,01/04/2024,south point,Tea,Green Tea,1,110.34,110.34,New
T100274,23/02/2024,South Point,Pastry,Danish,2,100.42,200.84,New
T100275,27/03/2024,north hub,Pastry,Muffin,3,235.81,707.43,Regular
T100276,10/04/2024,South Point,Coffee,Americano,4,253.51,1014.04,Regular
T100277,05/04/2024,CENTRAL,Coffee,Cappuccino,2,309.46,618.92,Regular
T100278,06/04/2024,central,Pastry,Muffin,1,158.98,158.98,New
T100279,01/01/2024,NORTH HUB,Tea,Black Tea,2,125.22,250.44,Regular
T100280,19/01/2024,central,Pastry,Muffin,4,182.33,729.32,Regular
T100281,02/01/2024,CENTRAL,Coffee,Espresso,1,175.47,175.47,Regular
T100282,22/02/2024,NORTH HUB,Pastry,Danish,4,115.77,463.08,New
T100283,13/02/2024,north hub,Pastry,Croissant,2,261.52,523.04,New
T100284,30/03/2024,south point,Tea,Green Tea,3,217.35,652.05,Regular
T100285,01/02/2024,SOUTH POINT,Snacks,Bagel,3,274.7,824.1,Regular
T100286,10/03/2024,CENTRAL,Coffee,Cappuccino,2,175.23,350.46,Regular
T100287,01/02/2024,CENTRAL,Tea,Masala Tea,2,167.94,335.88,New
T100288,28/04/2024,CENTRAL,Pastry,Muffin,2,207.6,415.2,Regular
T100289,08/03/2024,NORTH HUB,Pastry,Croissant,1,316.9,316.9,New
T100290,24/02/2024,Central,Snacks,Cookie,4,90.88,363.52,New
T100291,15/03/2024,South Point,Coffee,Americano,4,297.3,1189.2,New
T100292,25/02/2024,Central,Coffee,Latte,4,179.63,718.52,Regular
T100293,17/01/2024,north hub,Sandwich,Cheese Sandwich,2,310.75,621.5,Regular
T100294,07/02/2024,south point,Coffee,Latte,4,296.59,1186.36,New
T100295,24/01/2024,North Hub,Snacks,Brownie,2,174.17,348.34,New
T100296,09/03/2024,north hub,Sandwich,Chicken Sandwich,1,267.35,267.35,New
T100297,25/04/2024,North Hub,Sandwich,Veg Sandwich,3,123.1,369.3,New
T100298,07/04/2024,North Hub,Pastry,Danish,2,322.0,644.0,Regular
T100299,10/03/2024,south point,Pastry,Croissant,2,189.21,378.42,Regular
T100300,26/03/2024,central,Coffee,Latte,3,203.02,609.06,New
T100301,11/01/2024,Central,Sandwich,Cheese Sandwich,3,270.55,811.65,New
T100302,21/04/2024,CENTRAL,Pastry,Muffin,1,301.63,301.63,New
T100303,16/01/2024,SOUTH POINT,Snacks,Bagel,4,143.81,575.24,Regular
T100304,06/04/2024,North Hub,Pastry,Danish,2,258.56,517.12,New
T100305,13/03/2024,north hub,Pastry,Muffin,4,185.84,743.36,Regular
T100306,28/02/2024,central,Sandwich,Chicken Sandwich,2,179.55,359.1,New
T100307,10/03/2024,North Hub,Sandwich,Cheese Sandwich,1,266.31,266.31,Regular
T100308,20/03/2024,central,Tea,Black Tea,3,184.54,553.62,Regular
T100309,02/04/2024,central,Snacks,Cookie,1,173.45,173.45,New
T100310,03/01/2024,North Hub,Sandwich,Veg Sandwich,3,305.69,917.07,Regular
T100311,20/01/2024,NORTH HUB,Coffee,Latte,4,107.34,429.36,Regular
T100312,28/02/2024,South Point,Snacks,Bagel,4,262.49,1049.96,Regular
T100313,05/02/2024,CENTRAL,Snacks,Cookie,1,147.16,147.16,Regular
T100314,19/01/2024,CENTRAL,Sandwich,Veg Sandwich,3,84.18,252.54,New
T100315,30/03/2024,NORTH HUB,Snacks,Cookie,1,125.03,125.03,New
T100316,07/03/2024,CENTRAL,Sandwich,Cheese Sandwich,3,243.8,731.4,New
T100317,19/01/2024,central,Pastry,Muffin,3,271.46,814.38,New
T100318,20/01/2024,south point,Tea,Black Tea,4,85.69,342.76,New
T100319,05/04/2024,north hub,Pastry,Danish,4,89.83,359.32,Regular
T100320,11/03/2024,Central,Sandwich,Chicken Sandwich,3,323.69,971.07,Regular
T100321,21/02/2024,CENTRAL,Sandwich,Cheese Sandwich,3,99.79,299.37,Regular
T100322,14/04/2024,south point,Pastry,Danish,3,321.43,964.29,Regular
T100323,02/02/2024,North Hub,Coffee,Espresso,4,141.6,566.4,New
T100324,09/02/2024,South Point,Coffee,Espresso,4,279.8,1119.2,New
T100325,08/02/2024,central,Coffee,Espresso,2,163.63,327.26,Regular
T100326,22/03/2024,South Point,Sandwich,Veg Sandwich,3,311.86,935.58,New
T100327,13/04/2024,north hub,Snacks,Bagel,2,269.12,538.24,Regular
T100328,01/01/2024,north hub,Sandwich,Chicken Sandwich,3,188.49,565.47,Regular
T100329,11/01/2024,NORTH HUB,Snacks,Bagel,4,100.6,402.4,New
T100330,01/04/2024,SOUTH POINT,Pastry,Danish,2,277.83,555.66,New
T100331,26/02/2024,NORTH HUB,Tea,Black Tea,2,246.56,493.12,New
T100332,29/03/2024,south point,Snacks,Cookie,1,80.79,80.79,New
T100333,19/02/2024,South Point,Coffee,Espresso,3,82.54,247.62,New
T100334,23/01/2024,SOUTH POINT,Sandwich,Cheese Sandwich,4,298.37,1193.48,New
T100335,31/01/2024,North Hub,Pastry,Danish,1,150.04,150.04,New
T100336,03/04/2024,central,Coffee,Espresso,1,251.76,251.76,Regular
T100337,11/02/2024,South Point,Pastry,Danish,3,202.64,607.92,New
T100338,08/04/2024,NORTH HUB,Tea,Masala Tea,1,313.13,313.13,Regular
T100339,07/01/2024,Central,Sandwich,Cheese Sandwich,3,327.58,982.74,Regular
T100340,16/01/2024,SOUTH POINT,Sandwich,Cheese Sandwich,1,349.14,349.14,New
T100341,30/03/2024,SOUTH POINT,Tea,Green Tea,3,121.49,364.47,Regular
T100342,21/04/2024,central,Sandwich,Cheese Sandwich,4,313.0,1252.0,New
T100343,25/04/2024,CENTRAL,Snacks,Bagel,3,151.83,455.49,Regular
